't','res','ferm','glc'
0,0.6,0.4,5
0.00042651,0.58745,0.41255,4.9999
0.00085301,0.57505,0.42495,4.9998
0.0012795,0.56282,0.43718,4.9997
0.001706,0.55078,0.44922,4.9996
0.0028212,0.52026,0.47974,4.9994
0.0039364,0.49128,0.50872,4.9991
0.0050516,0.46395,0.53605,4.9988
0.0061668,0.43833,0.56167,4.9985
0.0071861,0.4164,0.5836,4.9982
0.0082054,0.39585,0.60415,4.9979
0.0092247,0.37663,0.62337,4.9976
0.010244,0.35868,0.64132,4.9973
0.011263,0.34194,0.65806,4.9969
0.012283,0.32632,0.67368,4.9966
0.013302,0.31175,0.68825,4.9962
0.014321,0.29815,0.70185,4.9959
0.015354,0.28531,0.71469,4.9955
0.016386,0.27332,0.72668,4.9951
0.017418,0.26213,0.73787,4.9948
0.018451,0.25167,0.74833,4.9944
0.019575,0.24103,0.75897,4.994
0.0207,0.23112,0.76888,4.9935
0.021825,0.22189,0.77811,4.9931
0.022949,0.21326,0.78674,4.9927
0.024208,0.20427,0.79573,4.9922
0.025466,0.19592,0.80408,4.9917
0.026724,0.18814,0.81186,4.9912
0.027982,0.18089,0.81911,4.9906
0.029414,0.17322,0.82678,4.9901
0.030846,0.16611,0.83389,4.9895
0.032278,0.1595,0.8405,4.9889
0.03371,0.15335,0.84665,4.9883
0.035361,0.14677,0.85323,4.9876
0.037013,0.14068,0.85932,4.9869
0.038665,0.13503,0.86497,4.9862
0.040317,0.12979,0.87021,4.9855
0.042243,0.12412,0.87588,4.9846
0.04417,0.1189,0.8811,4.9838
0.046096,0.11406,0.88594,4.9829
0.048023,0.10958,0.89042,4.9821
0.050292,0.1047,0.8953,4.9811
0.052561,0.10021,0.89979,4.9801
0.054829,0.096068,0.90393,4.9791
0.057098,0.092233,0.90777,4.978
0.059794,0.088034,0.91197,4.9768
0.062489,0.084179,0.91582,4.9756
0.065185,0.080629,0.91937,4.9744
0.067881,0.07735,0.92265,4.9732
0.07111,0.073739,0.92626,4.9717
0.07434,0.070433,0.92957,4.9702
0.077569,0.067396,0.9326,4.9687
0.080799,0.064597,0.9354,4.9672
0.084699,0.061496,0.9385,4.9654
0.0886,0.058666,0.94133,4.9636
0.0925,0.056073,0.94393,4.9618
0.096401,0.053688,0.94631,4.96
0.10115,0.051033,0.94897,4.9578
0.1059,0.048617,0.95138,4.9556
0.11065,0.046409,0.95359,4.9534
0.11539,0.044383,0.95562,4.9512
0.12122,0.042116,0.95788,4.9484
0.12704,0.040059,0.95994,4.9457
0.13287,0.038185,0.96181,4.943
0.1387,0.03647,0.96353,4.9402
0.1459,0.034541,0.96546,4.9369
0.15311,0.032797,0.9672,4.9335
0.16031,0.031212,0.96879,4.9301
0.16751,0.029766,0.97023,4.9267
0.1765,0.028132,0.97187,4.9225
0.18548,0.026659,0.97334,4.9183
0.19446,0.025325,0.97468,4.914
0.20344,0.024111,0.97589,4.9098
0.21474,0.022732,0.97727,4.9045
0.22603,0.021494,0.97851,4.8992
0.23733,0.020377,0.97962,4.8939
0.24862,0.019363,0.98064,4.8886
0.26294,0.018206,0.98179,4.882
0.27727,0.017171,0.98283,4.8753
0.29159,0.016241,0.98376,4.8686
0.30592,0.0154,0.9846,4.8619
0.32425,0.014434,0.98557,4.8534
0.34259,0.013574,0.98643,4.845
0.36092,0.012805,0.9872,4.8365
0.37926,0.012111,0.98789,4.8281
0.40295,0.011311,0.98869,4.8172
0.42665,0.010602,0.9894,4.8064
0.45035,0.0099701,0.99003,4.7956
0.47405,0.0094032,0.9906,4.7848
0.50501,0.0087451,0.99125,4.7708
0.53597,0.0081656,0.99183,4.7569
0.56693,0.0076518,0.99235,4.7431
0.59789,0.0071929,0.99281,4.7294
0.63881,0.006657,0.99334,4.7113
0.67972,0.0061883,0.99381,4.6933
0.72064,0.0057752,0.99422,4.6755
0.76155,0.0054084,0.99459,4.6578
