t, r, f, g
0,0.5,0.5,2
0.0010385,0.48755,0.51245,1.9979
0.0020771,0.47544,0.52456,1.9958
0.0031156,0.46368,0.53632,1.9936
0.0041541,0.45227,0.54773,1.9914
0.006546,0.42729,0.57271,1.9861
0.0089379,0.4041,0.5959,1.9807
0.01133,0.38263,0.61737,1.975
0.013722,0.36278,0.63722,1.9691
0.015909,0.34596,0.65404,1.9637
0.018096,0.33033,0.66967,1.9581
0.020284,0.31579,0.68421,1.9524
0.022471,0.30228,0.69772,1.9466
0.024687,0.28954,0.71046,1.9406
0.026903,0.27769,0.72231,1.9345
0.029119,0.26666,0.73334,1.9284
0.031335,0.25637,0.74363,1.9222
0.033778,0.24583,0.75417,1.9153
0.036221,0.23605,0.76395,1.9083
0.038664,0.22695,0.77305,1.9013
0.041107,0.21849,0.78151,1.8942
0.043876,0.20959,0.79041,1.8861
0.046645,0.20136,0.79864,1.8779
0.049415,0.19372,0.80628,1.8697
0.052184,0.18664,0.81336,1.8615
0.055387,0.17905,0.82095,1.8519
0.058591,0.17206,0.82794,1.8423
0.061794,0.16559,0.83441,1.8327
0.064998,0.15961,0.84039,1.823
0.068767,0.15311,0.84689,1.8117
0.072537,0.14715,0.85285,1.8003
0.076306,0.14166,0.85834,1.7889
0.080076,0.13659,0.86341,1.7775
0.084584,0.13102,0.86898,1.7639
0.089092,0.12593,0.87407,1.7503
0.093599,0.12127,0.87873,1.7367
0.098107,0.11698,0.88302,1.7232
0.10359,0.11221,0.88779,1.7068
0.10908,0.10788,0.89212,1.6905
0.11456,0.10394,0.89606,1.6742
0.12004,0.10033,0.89967,1.6581
0.12685,0.09626,0.90374,1.6382
0.13366,0.092597,0.9074,1.6184
0.14047,0.089285,0.91071,1.5988
0.14728,0.086282,0.91372,1.5793
0.15596,0.082841,0.91716,1.5548
0.16465,0.079782,0.92022,1.5305
0.17334,0.077054,0.92295,1.5065
0.18202,0.074614,0.92539,1.4829
0.19364,0.071742,0.92826,1.4517
0.20525,0.069256,0.93074,1.4211
0.21686,0.067101,0.9329,1.3911
0.22848,0.065234,0.93477,1.3616
0.24382,0.063147,0.93685,1.3235
0.25917,0.061437,0.93856,1.2864
0.27451,0.060054,0.93995,1.2503
0.28986,0.058958,0.94104,1.2151
0.30954,0.057925,0.94207,1.1714
0.32922,0.057271,0.94273,1.1292
0.3489,0.05696,0.94304,1.0885
0.36858,0.056972,0.94303,1.0492
0.3913,0.05737,0.94263,1.0056
0.41402,0.058172,0.94183,0.96384
0.43675,0.059383,0.94062,0.92383
0.45947,0.061018,0.93898,0.88552
0.48595,0.063495,0.9365,0.84293
0.51244,0.066644,0.93336,0.8025
0.53893,0.070548,0.92945,0.76412
0.56542,0.075317,0.92468,0.72774
0.60038,0.083177,0.91682,0.68263
0.63534,0.093202,0.9068,0.64068
0.6703,0.10596,0.89404,0.60177
0.70526,0.12218,0.87782,0.56577
0.72758,0.13477,0.86523,0.54426
0.74991,0.14945,0.85055,0.52388
0.77223,0.16658,0.83342,0.50461
0.79455,0.18653,0.81347,0.48644
0.81175,0.2041,0.7959,0.47318
0.82896,0.2238,0.7762,0.46058
0.84616,0.24585,0.75415,0.44863
0.86336,0.27043,0.72957,0.43733
0.88056,0.29771,0.70229,0.42669
0.89776,0.32782,0.67218,0.41672
0.91496,0.36082,0.63918,0.40741
0.93216,0.39667,0.60333,0.39877
0.9472,0.43023,0.56977,0.39177
0.96225,0.46564,0.53436,0.38529
0.97729,0.50261,0.49739,0.37932
0.99234,0.54073,0.45927,0.37386
1.0027,0.5673,0.4327,0.37041
1.013,0.59402,0.40598,0.36718
1.0233,0.6207,0.3793,0.36418
1.0336,0.64714,0.35286,0.3614
1.0439,0.67315,0.32685,0.35884
1.0543,0.69854,0.30146,0.35648
1.0646,0.72314,0.27686,0.35431
1.0749,0.7468,0.2532,0.35233
1.0852,0.76928,0.23072,0.35054
1.0955,0.79059,0.20941,0.34891
1.1057,0.81063,0.18937,0.34743
1.116,0.82937,0.17063,0.34609
1.124,0.84306,0.15694,0.34514
1.1321,0.85592,0.14408,0.34426
1.1401,0.86798,0.13202,0.34346
1.1481,0.87924,0.12076,0.34272
1.1561,0.88971,0.11029,0.34204
1.1641,0.89943,0.10057,0.34141
1.1722,0.90843,0.091574,0.34084
1.1802,0.91673,0.083274,0.34032
1.1879,0.92407,0.075931,0.33985
1.1956,0.93084,0.069163,0.33943
1.2033,0.93706,0.062938,0.33904
1.2109,0.94278,0.057221,0.33867
1.2184,0.94788,0.052122,0.33835
1.2259,0.95256,0.047443,0.33805
1.2334,0.95685,0.043155,0.33778
1.2408,0.96077,0.03923,0.33752
1.2484,0.96439,0.035607,0.33728
1.2559,0.9677,0.032302,0.33706
1.2635,0.97071,0.029289,0.33686
1.271,0.97345,0.026545,0.33667
1.2788,0.97603,0.023972,0.33648
1.2866,0.97836,0.021639,0.33631
1.2944,0.98047,0.019527,0.33615
1.3022,0.98239,0.017614,0.33601
1.3104,0.98419,0.015805,0.33586
1.3186,0.98582,0.014177,0.33573
1.3267,0.98729,0.012713,0.3356
1.3349,0.9886,0.011398,0.33548
1.3436,0.98985,0.010148,0.33536
1.3522,0.99097,0.0090323,0.33525
1.3609,0.99196,0.0080379,0.33514
1.3696,0.99285,0.0071515,0.33504
1.3789,0.99369,0.0063076,0.33493
1.3882,0.99444,0.0055623,0.33484
1.3975,0.9951,0.0049042,0.33474
1.4068,0.99568,0.0043234,0.33465
1.4168,0.99623,0.0037706,0.33456
1.4269,0.99671,0.0032881,0.33447
1.437,0.99713,0.002867,0.33438
1.4471,0.9975,0.0024995,0.33429
1.4581,0.99785,0.0021507,0.3342
1.4691,0.99815,0.0018503,0.33412
1.4801,0.99841,0.0015918,0.33403
1.4911,0.99863,0.0013693,0.33395
1.5033,0.99884,0.001159,0.33385
1.5155,0.99902,0.00098085,0.33376
1.5277,0.99917,0.00083014,0.33368
1.5399,0.9993,0.00070253,0.33359
1.5535,0.99942,0.0005827,0.33349
1.5671,0.99952,0.00048326,0.3334
1.5807,0.9996,0.00040087,0.3333
1.5943,0.99967,0.0003325,0.33321
1.6098,0.99973,0.00026885,0.3331
1.6252,0.99978,0.00021736,0.333
1.6406,0.99982,0.00017583,0.3329
1.656,0.99986,0.00014224,0.33279
1.6737,0.99989,0.0001113,0.33267
1.6914,0.99991,8.7074e-05,0.33255
1.7092,0.99993,6.8229e-05,0.33244
1.7269,0.99995,5.3481e-05,0.33232
1.7476,0.99996,4.001e-05,0.33218
1.7684,0.99997,3.0103e-05,0.33204
1.7891,0.99998,2.3067e-05,0.3319
1.8098,0.99998,1.7685e-05,0.33177
1.8442,0.99999,1.006e-05,0.33154
1.8786,0.99999,6.1218e-06,0.33131
1.9129,0.99999,5.9501e-06,0.33108
1.9473,0.99999,5.6284e-06,0.33086
1.982,1,3.1758e-06,0.33063
2.0167,1,1.912e-06,0.3304
2.0513,1,1.8534e-06,0.33017
2.086,1,1.7525e-06,0.32994
2.13,1,8.3934e-07,0.32965
2.1741,1,3.8508e-07,0.32937
2.2181,1,3.3315e-07,0.32908
2.2621,1,3.1717e-07,0.32879
2.3362,1,4.6733e-08,0.3283
2.4103,1,-9.53e-08,0.32782
