t,r,f,g 
0,0.5,0.5,5
0.00026497,0.48762,0.51238,4.9865
0.00052994,0.47571,0.52429,4.9726
0.00079491,0.46426,0.53574,4.9585
0.0010599,0.45327,0.54673,4.9441
0.0015247,0.43507,0.56493,4.9182
0.0019896,0.41817,0.58183,4.8916
0.0024544,0.4025,0.5975,4.8644
0.0029193,0.38798,0.61202,4.8365
0.003375,0.37478,0.62522,4.8087
0.0038308,0.36254,0.63746,4.7803
0.0042866,0.35118,0.64882,4.7515
0.0047424,0.34063,0.65937,4.7224
0.0052261,0.33026,0.66974,4.691
0.0057099,0.32066,0.67934,4.6594
0.0061936,0.31177,0.68823,4.6273
0.0066774,0.30353,0.69647,4.5951
0.007214,0.29509,0.70491,4.559
0.0077505,0.28731,0.71269,4.5226
0.0082871,0.28014,0.71986,4.486
0.0088236,0.27352,0.72648,4.4493
0.0094312,0.26663,0.73337,4.4075
0.010039,0.26032,0.73968,4.3655
0.010646,0.25454,0.74546,4.3234
0.011254,0.24923,0.75077,4.2812
0.011951,0.24367,0.75633,4.2327
0.012649,0.23862,0.76138,4.1842
0.013346,0.23403,0.76597,4.1356
0.014044,0.22986,0.77014,4.0872
0.014852,0.2255,0.7745,4.031
0.015661,0.22159,0.77841,3.975
0.016469,0.21809,0.78191,3.9192
0.017278,0.21496,0.78504,3.8636
0.018221,0.21172,0.78828,3.799
0.019165,0.20889,0.79111,3.7348
0.020109,0.20642,0.79358,3.671
0.021052,0.20428,0.79572,3.6077
0.022157,0.20216,0.79784,3.5341
0.023262,0.2004,0.7996,3.4613
0.024367,0.19897,0.80103,3.3892
0.025472,0.19784,0.80216,3.3179
0.026766,0.19686,0.80314,3.2355
0.02806,0.19623,0.80377,3.1542
0.029354,0.1959,0.8041,3.0742
0.030648,0.19586,0.80414,2.9954
0.032155,0.19613,0.80387,2.9053
0.033661,0.19674,0.80326,2.817
0.035167,0.19764,0.80236,2.7305
0.036673,0.19882,0.80118,2.6458
0.038398,0.20051,0.79949,2.5512
0.040123,0.20252,0.79748,2.459
0.041849,0.20484,0.79516,2.3693
0.043574,0.20747,0.79253,2.2821
0.045494,0.21073,0.78927,2.188
0.047413,0.21433,0.78567,2.0971
0.049333,0.21828,0.78172,2.0093
0.051252,0.22257,0.77743,1.9246
0.053306,0.22752,0.77248,1.8373
0.05536,0.23285,0.76715,1.7535
0.057414,0.23857,0.76143,1.6732
0.059467,0.24466,0.75534,1.5962
0.061589,0.25136,0.74864,1.5201
0.06371,0.25848,0.74152,1.4476
0.065831,0.26601,0.73399,1.3784
0.067952,0.27396,0.72604,1.3125
0.070098,0.28244,0.71756,1.249
0.072244,0.29137,0.70863,1.1888
0.07439,0.30074,0.69926,1.1317
0.076536,0.31055,0.68945,1.0775
0.078692,0.32086,0.67914,1.026
0.080848,0.33163,0.66837,0.9773
0.083004,0.34285,0.65715,0.93128
0.08516,0.35451,0.64549,0.88783
0.087326,0.36668,0.63332,0.84665
0.089493,0.37929,0.62071,0.80785
0.09166,0.39233,0.60767,0.77132
0.093827,0.40578,0.59422,0.73697
0.096011,0.41973,0.58027,0.70442
0.098196,0.43408,0.56592,0.67386
0.10038,0.44878,0.55122,0.6452
0.10257,0.46381,0.53619,0.61833
0.10477,0.4793,0.5207,0.5929
0.10698,0.49506,0.50494,0.56912
0.10919,0.51106,0.48894,0.54687
0.11139,0.52726,0.47274,0.52608
0.11362,0.54377,0.45623,0.50648
0.11585,0.56038,0.43962,0.48819
0.11808,0.57707,0.42293,0.47114
0.12031,0.59376,0.40624,0.45525
0.12256,0.61059,0.38941,0.44029
0.12482,0.62733,0.37267,0.42638
0.12707,0.64393,0.35607,0.41345
0.12932,0.66035,0.33965,0.40142
0.13161,0.67682,0.32318,0.39005
0.1339,0.69299,0.30701,0.37951
0.1362,0.70884,0.29116,0.36973
0.13849,0.72431,0.27569,0.36066
0.14087,0.73994,0.26006,0.35195
0.14325,0.7551,0.2449,0.34389
0.14563,0.76975,0.23025,0.33646
0.14801,0.78386,0.21614,0.32959
0.15059,0.79852,0.20148,0.32275
0.15317,0.8125,0.1875,0.31647
0.15575,0.82581,0.17419,0.31072
0.15833,0.83842,0.16158,0.30545
0.16145,0.85279,0.14721,0.29964
0.16458,0.86616,0.13384,0.29442
0.1677,0.87855,0.12145,0.28972
0.17083,0.89,0.11,0.28549
0.1742,0.90134,0.098663,0.28139
0.17757,0.91167,0.088332,0.27773
0.18095,0.92105,0.078948,0.27446
0.18432,0.92955,0.070452,0.27153
0.18706,0.93584,0.064162,0.26937
0.1898,0.94162,0.058381,0.2674
0.19254,0.94692,0.053078,0.2656
0.19527,0.95178,0.04822,0.26394
0.19796,0.95615,0.043854,0.26245
0.20065,0.96014,0.039858,0.26108
0.20334,0.9638,0.036205,0.25981
0.20602,0.96713,0.032868,0.25864
0.20876,0.97023,0.029768,0.25754
0.2115,0.97305,0.026947,0.25652
0.21423,0.97562,0.024382,0.25558
0.21697,0.97795,0.022052,0.2547
0.21981,0.98014,0.019858,0.25385
0.22265,0.98212,0.017875,0.25307
0.2255,0.98392,0.016084,0.25234
0.22834,0.98553,0.014467,0.25165
0.23133,0.98706,0.012935,0.25098
0.23432,0.98844,0.011562,0.25035
0.23731,0.98967,0.01033,0.24975
0.2403,0.99077,0.0092272,0.24919
0.24349,0.99182,0.0081795,0.24863
0.24667,0.99275,0.0072483,0.2481
0.24985,0.99358,0.0064213,0.2476
0.25304,0.99431,0.0056869,0.24712
0.25646,0.99501,0.0049894,0.24662
0.25988,0.99562,0.004376,0.24615
0.2633,0.99616,0.003837,0.2457
0.26672,0.99664,0.0033635,0.24527
0.27042,0.99709,0.0029146,0.24482
0.27413,0.99748,0.0025248,0.24438
0.27784,0.99781,0.0021867,0.24395
0.28155,0.99811,0.0018932,0.24354
0.28561,0.99838,0.0016161,0.24309
0.28967,0.99862,0.0013792,0.24266
0.29373,0.99882,0.0011767,0.24224
0.29779,0.999,0.0010036,0.24182
0.30228,0.99916,0.00084118,0.24137
0.30677,0.9993,0.00070477,0.24093
0.31126,0.99941,0.00059039,0.24049
0.31575,0.99951,0.0004944,0.24006
0.32077,0.99959,0.00040502,0.23958
0.32579,0.99967,0.00033166,0.2391
0.33081,0.99973,0.00027159,0.23863
0.33584,0.99978,0.00022232,0.23816
0.34153,0.99982,0.00017691,0.23763
0.34722,0.99986,0.0001407,0.23711
0.35291,0.99989,0.00011196,0.23659
0.35861,0.99991,8.9069e-05,0.23607
0.36516,0.99993,6.8393e-05,0.23547
0.37172,0.99995,5.2409e-05,0.23488
0.37828,0.99996,3.9897e-05,0.23429
0.38484,0.99997,3.0315e-05,0.2337
0.40301,0.99999,1.2197e-05,0.23208
0.42119,1,3.157e-06,0.23047
0.43936,1,1.2677e-06,0.22887
0.45754,1,1.5032e-06,0.22729
0.47761,1,4.9475e-07,0.22555
0.49769,1,-1.2237e-08,0.22382
0.51777,1,-1.3861e-07,0.22211
0.53785,1,-1.1225e-07,0.22041
0.58492,1,-1.1225e-07,0.21647
